Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
ASCC1,0,0,0,0,2,0,0,1,0,3,3,3
ASL,0,0,0,0,3,0,0,0,0,3,3,3
ASPA,0,0,0,0,3,0,0,0,0,3,3,3
ASPN,2,0,0,0,1,0,0,0,0,3,3,3
ASPSCR1,0,0,0,0,3,0,0,0,0,3,3,3
ASUN,0,0,0,0,3,0,0,0,0,3,3,3
ATAD3B,0,1,0,0,2,0,0,0,0,3,3,3
ATAD3C,0,0,0,0,3,0,0,0,0,3,3,3
ATF4,0,0,0,0,3,0,0,0,0,3,3,3
ATF6B,0,0,0,0,2,1,0,0,0,3,3,3
ATF7IP2,1,0,0,0,2,0,0,0,0,3,3,3
ATG14,0,0,0,0,0,3,0,0,0,3,3,3
ATL3,0,0,0,0,2,0,0,1,0,3,3,3
ATOH1,0,0,0,0,3,0,0,0,0,3,3,3
ATP11AUN,0,0,0,0,3,0,0,0,0,3,3,3
ATP1B2,0,0,0,0,3,0,0,0,0,3,3,3
ATP2C2,0,0,0,0,3,0,0,0,0,3,3,3
ATP6AP1,0,0,0,0,3,0,0,0,0,3,3,3
ATP6AP1L,0,0,0,0,3,0,0,0,0,3,3,3
ATP6AP2,0,0,0,0,2,0,0,1,0,3,3,3
ATP6V1C2,0,0,0,0,3,0,0,0,0,3,3,3
ATXN7L2,0,1,0,0,1,1,0,0,0,3,3,3
ATXN7L3,0,0,0,0,2,1,0,0,0,3,3,3
AUH,0,0,0,0,3,0,0,0,0,3,3,3
AURKC,0,0,0,0,3,0,0,0,0,3,3,3
AVIL,0,0,0,0,3,0,0,0,0,3,3,3
AVP,0,0,1,0,2,0,0,0,0,3,3,3
B3GALNT1,0,0,0,0,3,0,0,0,0,3,3,3
B3GALT5,0,0,0,0,3,0,0,0,0,3,3,3
B3GAT3,0,0,0,0,2,0,0,1,0,3,3,3
B3GNT4,0,0,0,0,3,0,0,0,0,3,3,3
B4GALNT2,0,0,0,0,2,1,0,0,0,3,3,3
B4GALT3,0,0,0,0,3,0,0,0,0,3,3,3
B9D2,0,0,0,0,3,0,0,0,0,3,3,3
BAG5,0,0,0,0,2,1,0,0,0,3,3,3
BCKDHB,0,0,0,0,2,0,0,1,0,3,3,3
BCL11B,0,0,0,0,2,1,0,0,0,3,3,3
BCL2A1,0,0,0,0,2,1,0,0,0,3,3,3
BCO2,0,1,0,0,2,0,0,0,0,3,3,3
BECN1,0,0,0,0,3,0,0,0,0,3,3,3
BEST1,0,0,0,0,2,1,0,0,0,3,3,3
BEX1,0,0,0,0,3,0,0,0,0,3,3,3
BID,2,1,0,0,0,0,0,0,0,3,3,3
BIN1,0,0,0,0,3,0,0,0,0,3,3,3
BIRC2,0,0,0,0,3,0,0,0,0,3,3,3
BLMH,0,0,0,0,2,1,0,0,0,3,3,3
BLNK,0,0,0,0,3,0,0,0,0,3,3,3
BLOC1S5-TXNDC5,0,0,0,0,3,0,0,0,0,3,3,3
BMP7,0,0,0,0,3,0,0,0,0,3,3,3
BMP8B,0,0,0,0,2,1,0,0,0,3,3,3
BNIP1,0,0,0,0,3,0,0,0,0,3,3,3
BNIP2,0,0,0,0,3,0,0,0,0,3,3,3
BPGM,0,0,0,0,3,0,0,0,0,3,3,3
BPIFB3,0,0,0,0,3,0,0,0,0,3,3,3
BRD9,0,0,0,0,3,0,0,0,0,3,3,3
BRSK2,0,0,0,0,3,0,0,0,0,3,3,3
BST2,0,0,0,0,3,0,0,0,0,3,3,3
BTBD10,0,0,0,0,3,0,0,0,0,3,3,3
BTNL9,0,0,0,0,2,1,0,0,0,3,3,3
BUD13,0,0,0,0,3,0,0,0,0,3,3,3
C10orf76,0,0,0,0,3,0,0,0,0,3,3,3
C11orf54,0,0,0,0,2,1,0,0,0,3,3,3
C11orf58,0,1,0,0,2,0,0,0,0,3,3,3
C12orf74,0,0,0,0,2,1,0,0,0,3,3,3
C14orf39,0,0,0,0,2,1,0,0,0,3,3,3
C14orf93,0,0,0,0,2,1,0,0,0,3,3,3
C15orf41,0,0,0,0,3,0,0,0,0,3,3,3
C15orf57,0,0,0,0,3,0,0,0,0,3,3,3
C16orf89,0,0,0,0,2,0,0,1,0,3,3,3
C17orf70,0,0,0,0,3,0,0,0,0,3,3,3
C19orf48,0,0,0,0,3,0,0,0,0,3,3,3
C19orf73,0,0,0,0,3,0,0,0,0,3,3,3
C1QA,0,0,0,0,2,1,0,0,0,3,3,3
C1QL1,0,0,0,0,3,0,0,0,0,3,3,3
C1QL2,0,0,0,0,3,0,0,0,0,3,3,3
C1QL3,0,0,0,0,3,0,0,0,0,3,3,3
C1QTNF9,0,0,0,0,3,0,0,0,0,3,3,3
C1QTNF9B,1,0,0,0,2,0,0,0,0,3,3,3
C1orf111,0,0,0,0,2,1,0,0,0,3,3,3
C1orf112,0,0,0,0,3,0,0,0,0,3,3,3
C1orf127,0,0,0,0,3,0,0,0,0,3,3,3
C1orf131,0,0,0,0,3,0,0,0,0,3,3,3
C1orf141,0,0,0,0,2,1,0,0,0,3,3,3
C1orf174,0,0,0,0,3,0,0,0,0,3,3,3
C1orf177,0,0,0,0,2,1,0,0,0,3,3,3
C1orf186,0,0,0,0,2,0,0,1,0,3,3,3
C1orf56,0,0,0,0,3,0,0,0,0,3,3,3
C1orf74,0,0,0,0,3,0,0,0,0,3,3,3
C20orf27,0,0,0,0,2,1,0,0,0,3,3,3
C20orf96,0,0,0,0,2,0,0,1,0,3,3,3
C22orf29,0,0,0,0,3,0,0,0,0,3,3,3
C2orf42,0,0,0,0,2,1,0,0,0,3,3,3
C2orf44,0,0,0,0,3,0,0,0,0,3,3,3
C3orf36,0,0,0,0,3,0,0,0,0,3,3,3
C3orf58,0,1,0,0,2,0,0,0,0,3,3,3
C4A,1,0,0,0,2,0,0,0,0,3,3,3
C4BPB,0,0,0,0,2,0,0,1,0,3,3,3
C4orf19,0,0,0,0,2,1,0,0,0,3,3,3
C5orf38,0,0,0,0,2,1,0,0,0,3,3,3
C5orf49,0,0,0,0,3,0,0,0,0,3,3,3
C6orf25,0,0,0,0,3,0,0,0,0,3,3,3
C7orf25,0,0,0,0,3,0,0,0,0,3,3,3
C7orf31,0,0,0,0,3,0,0,0,0,3,3,3
C7orf50,0,0,0,0,3,0,0,0,0,3,3,3
C9orf135,0,0,0,0,3,0,0,0,0,3,3,3
C9orf156,0,0,0,0,2,1,0,0,0,3,3,3
C9orf171,0,0,0,0,3,0,0,0,0,3,3,3
C9orf173,0,0,0,0,3,0,0,0,0,3,3,3
C9orf24,0,0,0,0,2,1,0,0,0,3,3,3
C9orf43,0,0,0,0,2,1,0,0,0,3,3,3
CA12,0,0,0,0,2,1,0,0,0,3,3,3
CA13,0,0,0,0,3,0,0,0,0,3,3,3
CAB39,0,0,0,0,2,0,0,1,0,3,3,3
CAB39L,0,0,0,0,3,0,0,0,0,3,3,3
CABP1,0,0,0,0,2,1,0,0,0,3,3,3
CABP4,0,0,0,0,3,0,0,0,0,3,3,3
CABYR,0,0,0,0,3,0,0,0,0,3,3,3
CACNB3,0,0,0,0,3,0,0,0,0,3,3,3
CACNG6,0,0,0,0,3,0,0,0,0,3,3,3
CALB2,0,0,0,0,2,1,0,0,0,3,3,3
CALML5,0,0,0,0,3,0,0,0,0,3,3,3
CALR3,0,0,0,0,1,2,0,0,0,3,3,3
CAMKMT,0,0,0,0,2,1,0,0,0,3,3,3
CAPG,1,0,0,0,2,0,0,0,0,3,3,3
CAPN1,0,0,0,0,3,0,0,0,0,3,3,3
CAPS2,0,0,0,0,3,0,0,0,0,3,3,3
CAPZA1,0,0,0,0,2,1,0,0,0,3,3,3
CARD14,0,0,0,0,3,0,0,0,0,3,3,3
CASC1,0,0,0,0,3,0,0,0,0,3,3,3
CASKIN1,0,0,0,0,2,0,0,1,0,3,3,3
CASKIN2,0,0,0,0,3,0,0,0,0,3,3,3
CASP7,0,0,1,0,2,0,0,0,0,3,3,3
CASQ2,0,0,0,0,3,0,0,0,0,3,3,3
CBFB,0,0,0,0,3,0,0,0,0,3,3,3
CC2D2B,0,0,1,0,1,1,0,0,0,3,3,3
CCBL2,0,0,0,0,3,0,0,0,0,3,3,3
CCDC112,0,0,0,0,3,0,0,0,0,3,3,3
CCDC120,1,0,0,0,2,0,0,0,0,3,3,3
CCDC125,0,1,0,0,2,0,0,0,0,3,3,3
CCDC130,0,0,0,0,2,1,0,0,0,3,3,3
CCDC149,0,0,0,0,3,0,0,0,0,3,3,3
CCDC174,1,0,0,0,2,0,0,0,0,3,3,3
CCDC186,0,0,0,0,3,0,0,0,0,3,3,3
CCDC22,0,0,0,0,1,1,0,1,0,3,3,3
CCDC34,0,0,0,0,3,0,0,0,0,3,3,3
CCDC36,0,1,0,0,2,0,0,0,0,3,3,3
CCDC50,0,0,0,0,2,1,0,0,0,3,3,3
CCDC53,0,0,0,0,2,0,0,0,1,3,3,3
CCDC64,0,0,0,0,3,0,0,0,0,3,3,3
CCDC65,1,0,0,0,2,0,0,0,0,3,3,3
CCDC77,0,0,0,0,3,0,0,0,0,3,3,3
CCDC86,0,0,0,0,3,0,0,0,0,3,3,3
CCDC9,0,0,0,0,3,0,0,0,0,3,3,3
CCDC96,0,0,0,0,3,0,0,0,0,3,3,3
CCDC97,1,0,0,0,1,1,0,0,0,3,3,3
CCIN,0,0,0,0,3,0,0,0,0,3,3,3
CCM2L,0,0,0,0,3,0,0,0,0,3,3,3
CCNB1IP1,0,0,0,0,3,0,0,0,0,3,3,3
CCNL2,0,0,0,0,3,0,0,0,0,3,3,3
CCR5,0,0,0,0,2,1,0,0,0,3,3,3
CCR9,0,1,0,0,2,0,0,0,0,3,3,3
CCRL2,0,0,0,0,3,0,0,0,0,3,3,3
CCS,0,0,0,0,3,0,0,0,0,3,3,3
CCT5,0,0,0,0,3,0,0,0,0,3,3,3
CCT7,0,0,0,0,3,0,0,0,0,3,3,3
CD164L2,0,0,0,0,2,1,0,0,0,3,3,3
CD19,1,0,0,0,2,0,0,0,0,3,3,3
CD300LD,1,0,0,0,2,0,0,0,0,3,3,3
CD34,0,0,0,0,3,0,0,0,0,3,3,3
CD3G,0,0,0,0,3,0,0,0,0,3,3,3
CD40LG,0,0,0,0,3,0,0,0,0,3,3,3
CD46,0,0,0,0,2,0,1,0,0,3,3,3
CD47,0,1,0,0,2,0,0,0,0,3,3,3
CD68,0,0,0,0,3,0,0,0,0,3,3,3
CD86,0,0,0,0,3,0,0,0,0,3,3,3
CD8B,0,0,0,0,3,0,0,0,0,3,3,3
CDC14A,0,0,0,0,2,0,1,0,0,3,3,3
CDC25A,0,0,0,0,3,0,0,0,0,3,3,3
CDC37,0,0,0,0,3,0,0,0,0,3,3,3
CDC45,0,0,0,0,3,0,0,0,0,3,3,3
CDCA4,0,0,0,0,3,0,0,0,0,3,3,3
CDCA5,0,0,0,0,2,1,0,0,0,3,3,3
CDCP1,0,0,0,0,2,1,0,0,0,3,3,3
CDK1,0,0,0,1,2,0,0,0,0,3,3,3
CDK6,0,0,0,0,2,0,0,1,0,3,3,3
CDKL4,0,1,0,0,2,0,0,0,0,3,3,3
CDKN1A,0,0,0,0,2,1,0,0,0,3,3,3
CDNF,0,0,0,0,3,0,0,0,0,3,3,3
CDT1,0,0,0,0,3,0,0,0,0,3,3,3
CEACAM6,0,0,0,0,3,0,0,0,0,3,3,3
CEACAM7,0,0,0,0,1,2,0,0,0,3,3,3
CELF3,0,0,0,0,3,0,0,0,0,3,3,3
CENPC,0,0,0,0,3,0,0,0,0,3,3,3
CENPH,0,0,0,0,3,0,0,0,0,3,3,3
CENPN,0,0,0,0,2,1,0,0,0,3,3,3
CEP41,0,0,0,0,2,0,0,1,0,3,3,3
CEP55,0,0,0,0,3,0,0,0,0,3,3,3
CEP57L1,0,0,0,0,3,0,0,0,0,3,3,3
CEP85,0,0,0,0,2,1,0,0,0,3,3,3
CEP95,0,0,0,0,2,0,0,1,0,3,3,3
CERS2,0,0,0,0,3,0,0,0,0,3,3,3
CERS4,0,0,0,0,3,0,0,0,0,3,3,3
CERS5,0,0,0,0,2,1,0,0,0,3,3,3
CES2,0,0,0,0,2,1,0,0,0,3,3,3
CES4A,0,0,0,0,3,0,0,0,0,3,3,3
CETN2,0,0,0,0,1,1,0,1,0,3,3,3
CFAP53,0,0,0,0,3,0,0,0,0,3,3,3
CFC1,0,0,0,0,2,1,0,0,0,3,3,3
CFP,0,0,0,0,3,0,0,0,0,3,3,3
CGB5,0,0,0,0,3,0,0,0,0,3,3,3
CHAC2,0,0,0,0,3,0,0,0,0,3,3,3
CHAF1B,0,0,0,0,3,0,0,0,0,3,3,3
CHI3L1,0,0,0,0,1,1,0,1,0,3,3,3
CHMP5,0,0,0,0,3,0,0,0,0,3,3,3
CHP2,1,0,0,0,2,0,0,0,0,3,3,3
CHPF2,0,0,0,0,3,0,0,0,0,3,3,3
CHRM4,0,0,0,0,3,0,0,0,0,3,3,3
CHRNA9,0,0,0,0,3,0,0,0,0,3,3,3
CHST15,0,0,0,0,3,0,0,0,0,3,3,3
CHST4,0,0,0,0,3,0,0,0,0,3,3,3
CIART,0,0,0,0,3,0,0,0,0,3,3,3
CIB1,0,0,0,0,3,0,0,0,0,3,3,3
CIB4,0,0,0,0,3,0,0,0,0,3,3,3
CIR1,0,0,0,0,3,0,0,0,0,3,3,3
CITED1,0,0,0,0,3,0,0,0,0,3,3,3
CITED2,1,0,0,0,2,0,0,0,0,3,3,3
CLASRP,0,0,0,0,3,0,0,0,0,3,3,3
CLCN3,0,0,0,0,3,0,0,0,0,3,3,3
CLCNKA,0,0,0,0,3,0,0,0,0,3,3,3
CLDN6,0,0,0,0,3,0,0,0,0,3,3,3
CLDND1,0,0,1,0,2,0,0,0,0,3,3,3
CLEC11A,0,0,0,0,3,0,0,0,0,3,3,3
CLEC18B,0,0,0,0,3,0,0,0,0,3,3,3
CLEC3B,0,0,0,0,3,0,0,0,0,3,3,3
CLEC4A,0,0,0,0,3,0,0,0,0,3,3,3
CLINT1,0,0,0,0,3,0,0,0,0,3,3,3
CLK2,0,0,0,0,3,0,0,0,0,3,3,3
CLPX,0,0,0,0,3,0,0,0,0,3,3,3
CLUL1,0,0,0,0,3,0,0,0,0,3,3,3
CMPK2,0,0,0,0,2,1,0,0,0,3,3,3
CNKSR1,0,0,0,0,3,0,0,0,0,3,3,3
CNOT8,0,0,0,0,2,1,0,0,0,3,3,3
CNPY1,0,0,0,0,3,0,0,0,0,3,3,3
CNR2,0,0,0,0,3,0,0,0,0,3,3,3
CNTD2,0,0,0,0,3,0,0,0,0,3,3,3
CNTFR,0,0,0,0,3,0,0,0,0,3,3,3
COASY,0,0,0,0,2,1,0,0,0,3,3,3
COG5,0,0,0,0,2,0,0,1,0,3,3,3
COL18A1,0,0,0,0,3,0,0,0,0,3,3,3
COL23A1,0,0,0,0,3,0,0,0,0,3,3,3
COMMD10,0,0,0,0,2,1,0,0,0,3,3,3
COMMD2,0,0,0,0,0,3,0,0,0,3,3,3
COMMD8,0,0,0,0,3,0,0,0,0,3,3,3
COPE,0,0,0,0,3,0,0,0,0,3,3,3
COPG2,0,0,0,0,3,0,0,0,0,3,3,3
COPS5,0,0,0,0,3,0,0,0,0,3,3,3
COPS7A,0,0,0,0,1,1,0,1,0,3,3,3
COQ3,0,0,0,0,3,0,0,0,0,3,3,3
COQ6,1,0,0,0,1,1,0,0,0,3,3,3
CORO1B,0,0,0,0,2,1,0,0,0,3,3,3
CORO2A,0,0,0,0,3,0,0,0,0,3,3,3
CORO7-PAM16,0,0,0,0,3,0,0,0,0,3,3,3
COX10,0,0,0,0,3,0,0,0,0,3,3,3
COX4I2,0,0,0,0,1,1,0,0,1,3,3,3
CPEB2,0,0,0,0,2,1,0,0,0,3,3,3
CPO,1,0,0,0,2,0,0,0,0,3,3,3
CPOX,0,0,0,0,3,0,0,0,0,3,3,3
CPSF3L,0,0,0,0,3,0,0,0,0,3,3,3
CPT1B,0,0,0,0,3,0,0,0,0,3,3,3
CPT2,0,0,0,0,3,0,0,0,0,3,3,3
CRABP2,0,0,0,0,2,1,0,0,0,3,3,3
CRBN,0,0,0,0,2,1,0,0,0,3,3,3
CREB3L1,1,0,0,0,2,0,0,0,0,3,3,3
CREB5,0,0,0,0,3,0,0,0,0,3,3,3
CREBRF,0,0,0,0,3,0,0,0,0,3,3,3
CRTAP,0,0,0,0,2,1,0,0,0,3,3,3
CRTC3,0,0,0,0,2,0,0,1,0,3,3,3
CRYGB,0,0,0,0,2,1,0,0,0,3,3,3
CRYGC,0,0,0,0,3,0,0,0,0,3,3,3
CRYGS,0,0,0,0,2,1,0,0,0,3,3,3
CSAD,0,0,0,0,2,1,0,0,0,3,3,3
CSNK1G1,0,0,0,0,2,0,0,1,0,3,3,3
CSRP3,0,0,0,0,3,0,0,0,0,3,3,3
CST1,0,0,0,0,3,0,0,0,0,3,3,3
CST9L,0,0,0,0,3,0,0,0,0,3,3,3
CSTF1,0,0,0,0,2,1,0,0,0,3,3,3
CSTL1,0,0,0,0,3,0,0,0,0,3,3,3
CTAGE4,0,0,0,0,3,0,0,0,0,3,3,3
CTAGE8,0,0,0,0,3,0,0,0,0,3,3,3
CTLA4,0,0,0,0,2,0,1,0,0,3,3,3
CTNNAL1,0,0,0,0,3,0,0,0,0,3,3,3
CTNNB1,0,0,0,0,3,0,0,0,0,3,3,3
CTSB,0,0,0,0,3,0,0,0,0,3,3,3
CTSC,0,0,0,0,1,2,0,0,0,3,3,3
CTSV,0,0,0,0,3,0,0,0,0,3,3,3
CUEDC1,0,0,0,0,3,0,0,0,0,3,3,3
CUEDC2,1,0,0,0,2,0,0,0,0,3,3,3
CUL2,0,0,0,0,2,0,0,1,0,3,3,3
CUTC,0,0,0,0,3,0,0,0,0,3,3,3
CXCL9,0,0,0,0,2,0,0,1,0,3,3,3
CXCR2,0,0,0,0,3,0,0,0,0,3,3,3
CXorf58,1,0,0,0,2,0,0,0,0,3,3,3
CXorf67,0,0,0,0,2,1,0,0,0,3,3,3
CYB561,0,0,0,0,3,0,0,0,0,3,3,3
CYCS,0,0,0,0,3,0,0,0,0,3,3,3
CYP2A13,0,0,0,0,3,0,0,0,0,3,3,3
CYP2D6,0,0,0,0,2,0,0,1,0,3,3,3
CYP2R1,0,0,0,0,2,1,0,0,0,3,3,3
CYP39A1,0,0,0,0,3,0,0,0,0,3,3,3
CYP3A4,0,0,0,0,3,0,0,0,0,3,3,3
CYP3A7,0,0,0,0,3,0,0,0,0,3,3,3
CYP4A11,0,0,0,0,3,0,0,0,0,3,3,3
CYP4A22,0,0,0,0,2,1,0,0,0,3,3,3
CYP4B1,0,0,0,0,3,0,0,0,0,3,3,3
CYP4X1,0,0,0,0,3,0,0,0,0,3,3,3
CYTH2,0,0,0,0,3,0,0,0,0,3,3,3
CYTH3,0,0,0,0,3,0,0,0,0,3,3,3
DAB2IP,0,0,0,0,3,0,0,0,0,3,3,3
DAK,0,0,0,0,3,0,0,0,0,3,3,3
DAND5,0,0,0,0,2,1,0,0,0,3,3,3
DAP3,0,0,0,0,2,1,0,0,0,3,3,3
DAPK2,0,0,0,0,2,1,0,0,0,3,3,3
DAPK3,1,0,0,0,2,0,0,0,0,3,3,3
DAPL1,1,1,0,0,1,0,0,0,0,3,3,3
DBI,0,0,0,0,2,0,0,1,0,3,3,3
DBNDD1,0,0,0,0,3,0,0,0,0,3,3,3
DBNL,0,0,0,0,2,0,0,1,0,3,3,3
DCAF10,0,0,0,0,3,0,0,0,0,3,3,3
DCAF12,1,0,0,0,1,1,0,0,0,3,3,3
DCAF4L1,1,0,0,0,2,0,0,0,0,3,3,3
DCTN4,0,0,0,0,3,0,0,0,0,3,3,3
DDB2,0,0,0,0,2,0,0,1,0,3,3,3
DDIT4,0,0,0,0,3,0,0,0,0,3,3,3
DDO,0,0,0,0,3,0,0,0,0,3,3,3
DDX39A,1,0,0,0,2,0,0,0,0,3,3,3
DDX3Y,0,0,0,0,3,0,0,0,0,3,3,3
DDX51,0,0,0,0,2,1,0,0,0,3,3,3
DEFB114,0,0,0,0,3,0,0,0,0,3,3,3
DEFB115,0,0,0,0,0,2,0,1,0,3,3,3
DEFB125,0,0,0,0,2,1,0,0,0,3,3,3
DEFB129,0,0,0,0,3,0,0,0,0,3,3,3
DENND2D,0,1,0,0,1,1,0,0,0,3,3,3
DFFA,0,0,0,0,3,0,0,0,0,3,3,3
DFFB,0,0,0,0,2,0,0,1,0,3,3,3
DFNB59,0,0,0,0,3,0,0,0,0,3,3,3
DGKQ,0,0,0,0,2,0,0,1,0,3,3,3
DHH,0,0,0,0,3,0,0,0,0,3,3,3
DHRS13,0,0,0,0,2,1,0,0,0,3,3,3
DHRS2,0,0,0,0,3,0,0,0,0,3,3,3
DHX32,0,0,0,0,3,0,0,0,0,3,3,3
DIRC1,0,0,0,0,3,0,0,0,0,3,3,3
DIS3,0,0,0,0,2,0,0,1,0,3,3,3
DLK2,0,0,0,0,3,0,0,0,0,3,3,3
DLX2,0,0,0,0,3,0,0,0,0,3,3,3
DLX6,1,0,0,0,2,0,0,0,0,3,3,3
DMAP1,0,0,0,0,2,1,0,0,0,3,3,3
DMRTA2,1,0,0,0,2,0,0,0,0,3,3,3
DMRTB1,2,0,0,0,1,0,0,0,0,3,3,3
DNAJB7,0,0,0,0,3,0,0,0,0,3,3,3
DNAJB9,0,0,0,0,3,0,0,0,0,3,3,3
DNAJC25,0,0,0,0,3,0,0,0,0,3,3,3
DNAJC5G,0,0,0,0,3,0,0,0,0,3,3,3
DNAJC9,0,0,0,0,2,1,0,0,0,3,3,3
DNM1,0,0,0,0,3,0,0,0,0,3,3,3
DOK2,0,0,0,0,3,0,0,0,0,3,3,3
DPEP3,0,0,0,0,3,0,0,0,0,3,3,3
DPF1,0,1,0,0,2,0,0,0,0,3,3,3
DPH7,0,0,0,0,3,0,0,0,0,3,3,3
DRAM1,0,0,0,0,3,0,0,0,0,3,3,3
DTNBP1,0,0,0,0,3,0,0,0,0,3,3,3
DUSP11,0,0,0,0,3,0,0,0,0,3,3,3
E2F1,0,0,0,0,3,0,0,0,0,3,3,3
E2F5,0,0,0,0,3,0,0,0,0,3,3,3
EBAG9,0,0,0,0,3,0,0,0,0,3,3,3
ECD,0,0,0,0,3,0,0,0,0,3,3,3
ECHDC2,0,0,0,0,3,0,0,0,0,3,3,3
EDEM2,0,0,0,0,1,1,0,1,0,3,3,3
EEF1G,1,0,0,0,2,0,0,0,0,3,3,3
EEPD1,0,0,0,0,2,1,0,0,0,3,3,3
EFCAB14,0,0,0,0,2,1,0,0,0,3,3,3
EFHC1,0,0,0,0,3,0,0,0,0,3,3,3
EFNA3,0,0,0,0,3,0,0,0,0,3,3,3
EGLN1,0,0,0,0,3,0,0,0,0,3,3,3
EGR3,0,0,0,0,3,0,0,0,0,3,3,3
EIF2S2,1,0,0,0,1,1,0,0,0,3,3,3
EIF2S3,0,0,0,0,2,1,0,0,0,3,3,3
EIF3L,0,0,0,0,3,0,0,0,0,3,3,3
EIF3M,0,0,0,0,3,0,0,0,0,3,3,3
EIF4G2,1,0,0,0,2,0,0,0,0,3,3,3
EIF6,0,0,0,0,3,0,0,0,0,3,3,3
ELAVL3,0,0,0,0,3,0,0,0,0,3,3,3
ELMOD1,0,0,0,0,3,0,0,0,0,3,3,3
ELMOD3,0,0,0,0,3,0,0,0,0,3,3,3
ELOVL4,0,0,0,0,3,0,0,0,0,3,3,3
EMC7,0,0,0,0,3,0,0,0,0,3,3,3
EME2,1,0,0,0,2,0,0,0,0,3,3,3
EMX2,0,1,0,0,2,0,0,0,0,3,3,3
ENTHD2,0,0,0,0,3,0,0,0,0,3,3,3
EPHX4,0,0,0,0,2,1,0,0,0,3,3,3
EPN2,1,0,0,0,2,0,0,0,0,3,3,3
EPO,0,1,0,0,2,0,0,0,0,3,3,3
EPOR,0,0,0,0,2,1,0,0,0,3,3,3
ERAS,0,0,0,0,3,0,0,0,0,3,3,3
ERCC3,0,0,0,0,2,1,0,0,0,3,3,3
EREG,1,0,0,0,2,0,0,0,0,3,3,3
ERI1,0,0,0,0,2,0,0,1,0,3,3,3
ERI3,1,0,0,0,2,0,0,0,0,3,3,3
ERLEC1,0,0,0,0,2,1,0,0,0,3,3,3
ERMP1,0,0,0,0,3,0,0,0,0,3,3,3
ERP27,1,0,0,0,2,0,0,0,0,3,3,3
ERP44,0,0,0,0,3,0,0,0,0,3,3,3
ERVFRD-1,0,0,0,0,3,0,0,0,0,3,3,3
ETFDH,1,0,0,0,2,0,0,0,0,3,3,3
ETV2,0,0,0,0,3,0,0,0,0,3,3,3
EVA1C,0,0,0,0,3,0,0,0,0,3,3,3
EXD3,0,0,0,0,3,0,0,0,0,3,3,3
EXOC6B,0,0,0,0,2,1,0,0,0,3,3,3
EXOC8,0,0,0,0,2,1,0,0,0,3,3,3
EXOSC10,0,0,0,0,2,1,0,0,0,3,3,3
EXOSC7,0,0,0,0,3,0,0,0,0,3,3,3
EXOSC9,1,0,0,0,2,0,0,0,0,3,3,3
EYA3,0,0,0,0,3,0,0,0,0,3,3,3
FABP7,0,0,0,0,2,0,0,0,1,3,3,3
FADS2,0,0,0,0,3,0,0,0,0,3,3,3
FAH,0,0,0,0,1,1,0,1,0,3,3,3
FAHD2B,0,0,0,0,3,0,0,0,0,3,3,3
FAM104B,0,0,0,0,3,0,0,0,0,3,3,3
FAM107A,0,0,0,0,3,0,0,0,0,3,3,3
FAM126A,0,0,0,0,2,0,0,1,0,3,3,3
FAM134C,0,0,0,0,2,0,0,0,1,3,3,3
FAM151B,0,1,0,0,1,0,0,1,0,3,3,3
FAM153A,0,0,0,0,3,0,0,0,0,3,3,3
FAM155B,1,0,0,0,2,0,0,0,0,3,3,3
FAM159A,0,0,0,0,2,1,0,0,0,3,3,3
FAM160B2,0,0,0,0,3,0,0,0,0,3,3,3
FAM161A,0,0,0,0,1,2,0,0,0,3,3,3
FAM167A,1,0,0,0,2,0,0,0,0,3,3,3
FAM167B,0,0,0,0,3,0,0,0,0,3,3,3
FAM169B,0,0,0,0,3,0,0,0,0,3,3,3
FAM171A1,0,0,0,0,3,0,0,0,0,3,3,3
FAM186B,0,0,0,0,3,0,0,0,0,3,3,3
FAM193B,0,0,0,0,3,0,0,0,0,3,3,3
FAM199X,0,0,0,0,3,0,0,0,0,3,3,3
FAM19A1,0,0,0,0,3,0,0,0,0,3,3,3
FAM19A3,0,0,0,0,3,0,0,0,0,3,3,3
FAM204A,0,0,0,0,2,1,0,0,0,3,3,3
FAM221A,0,0,0,0,3,0,0,0,0,3,3,3
FAM3B,0,0,0,0,3,0,0,0,0,3,3,3
FAM3D,0,0,0,0,3,0,0,0,0,3,3,3
FAM53B,0,0,0,0,3,0,0,0,0,3,3,3
FAM71F1,1,0,0,0,1,1,0,0,0,3,3,3
FAM76B,0,0,0,0,2,1,0,0,0,3,3,3
FAM83E,0,0,0,0,3,0,0,0,0,3,3,3
FAM83F,1,0,0,0,2,0,0,0,0,3,3,3
FAM96A,0,0,0,0,2,1,0,0,0,3,3,3
FAM98A,0,0,0,0,3,0,0,0,0,3,3,3
FAM9B,0,0,0,0,2,0,0,1,0,3,3,3
FAS,0,0,0,0,3,0,0,0,0,3,3,3
FBL,0,0,0,0,2,0,0,0,1,3,3,3
FBXL5,0,0,0,0,3,0,0,0,0,3,3,3
FBXO16,0,0,0,0,3,0,0,0,0,3,3,3
FBXO27,0,0,0,0,3,0,0,0,0,3,3,3
FBXO28,0,0,0,0,3,0,0,0,0,3,3,3
FBXO32,1,0,0,0,2,0,0,0,0,3,3,3
